country,current_rates_mean,current_cases_mean,lancet_rates_mean,lancet_cases_mean,current_rates_quantile_low,current_cases_quantile_low,lancet_rates_quantile_low,lancet_cases_quantile_low,current_rates_quantile_high,current_cases_quantile_high,lancet_rates_quantile_high,lancet_cases_quantile_high,WHO_estimate,UNICEF_estimate
AGO,1.22742246766186e-5,372.833551401086,0.314015588593712,9538325.2445847,0,0,0.255057783055287,9538325.2445847,0,0,0.417388376454972,9538325.2445847,490.4,0
BDI,3.83906519485099e-5,423.272581922991,0.014400190522164,158767.968584499,0,0,0.012872374363748,158767.968584499,0,0,0.016092652565394,158767.968584499,502.4,NA
BEN,1.81099733132864e-5,205.540590917009,0.010226043832835,116061.30256427,0,0,0.008285828628756,116061.30256427,0,0,0.012919795284033,116061.30256427,164.4,7.59361997226075
BFA,3.2760364297422102e-009,0.063905469005051,0.00374061424884,72967.96389956,0,0,0.002495529398888,72967.96389956,0,0,0.006108639561216,72967.96389956,0,0
CAF,1.41635691957636e-5,66.023017490053,0.015623780069996,72829.743023433,0,0,0.013007118834211,72829.743023433,0,0,0.018986614540981,72829.743023433,0,50.2536231884058
CIV,3.01881544914762e-6,74.8732992492267,0.010032332956852,248824.04383427,0,0,0.006991051749837,248824.04383427,0,0,0.011814940367064,248824.04383427,39.8,36.9594964422551
CMR,4.83054296373615e-5,1203.87371407388,0.321287370716103,8007162.40747121,0,0,0.273274399179389,8007162.40747121,0,0,0.370391910375753,8007162.40747121,603.2,1496.25085889783
COD,6.35384657759e-4,52675.2739498809,1.35570744406997,112392170.853094,0,0,1.25843607993561,112392170.853094,0,0,1.60352914930861,112392170.853094,32907.4,23460.8095238095
COG,4.47698553288992e-6,23.2225380802618,0.140354542324526,728031.993832482,0,0,0.100663126859601,728031.993832482,0,0,0.234467771121678,728031.993832482,15,32.7508854781582
ETH,2.68657754275e-4,28988.0421932245,0.147512051120897,15916479.2151361,0,0,0.120117766058563,15916479.2151361,0,0,0.213035753760266,15916479.2151361,NA,NA
GNB,3.91092909567034e-8,0.072453970199616,0.056511138238378,104692.675978264,0,0,0.050957332783307,104692.675978264,0,0,0.064759979501162,104692.675978264,NA,0
KEN,1.4768083989e-4,7505.85203100851,0.21352590336957,10852415.4973328,0,0,0.152924570274567,10852415.4973328,0,0,0.273670368930254,10852415.4973328,6874.4,2770.08928571429
LBR,1.6616712896167e-5,79.1778559647297,0.016054120934978,76497.1317114845,0,0,0.006773151560158,76497.1317114845,0,0,0.037416925619814,76497.1317114845,0.4,83.3815958815959
MLI,3.73546161284519e-9,0.07039403820813,0.053443108536991,1007124.85208721,0,0,0.039579665877884,1007124.85208721,0,0,0.081558737437406,1007124.85208721,0,0
MOZ,0.139911671575771,4078245.85967075,0.139911671575771,4078245.85967075,0.059859482370715,1744827.17124994,0.059859482370715,4078245.85967075,0.21633059348282,6305759.46420336,0.21633059348282,4078245.85967075,4686.8,NA
MRT,3.41832037153296e-7,1.48627954456586,0.004858111992774,21122.9834985676,0,0,0.003675927640519,21122.9834985676,0,0,0.0069092761811,21122.9834985676,NA,0
MWI,7.2138465744155e-5,1293.99310728633,0.010238198133233,183649.009980618,0,0,0.00884960242218,183649.009980618,0,0,0.012570809759295,183649.009980618,732.8,1008.51916376307
NER,1.42181500961e-4,3142.80115336737,0.074350914534464,1643463.73033152,0,0,0.061555199370928,1643463.73033152,0,0,0.096289572312244,1643463.73033152,797.8,1749.07372657801
NGA,4.30358612310055e-5,8333.40049721521,0.216998622786485,42019292.2669124,0,0,0.146294333228756,42019292.2669124,0,0,0.273984463966172,42019292.2669124,13151,29906.0112586186
RWA,9.90539586942542e-6,120.45592846208,3.59694943814e-4,4374.11982231006,0,0,3.18140046141e-4,4374.11982231006,0,0,4.22419619501e-4,4374.11982231006,71,4.57393483709273
SDN,0.063686254310706,2635089.36831838,0.063686254310706,2635089.36831838,0.059347890887986,2455584.77262746,0.059347890887986,2635089.36831838,0.068242035288998,2823589.85637839,0.068242035288998,2635089.36831838,69.2,NA
SEN,4.9026065473884e-7,7.67806526338936,7.01297644391e-4,10983.1556553624,0,0,4.53581785189e-4,10983.1556553624,0,0,0.001070575833464,10983.1556553624,NA,0
SLE,9.83040802271372e-8,0.744599045564198,0.167036862972492,1265211.8656314,0,0,0.136477805944112,1265211.8656314,0,0,0.195747593168297,1265211.8656314,0,30.2428571428571
SOM,0.001552518137507,23047.4601088777,1.2227401732952,18151836.4821139,0,0,0.774546866751645,18151836.4821139,0,0,1.74952619378812,18151836.4821139,21686,10477.9985119048
SSD,0.63609320195559,6968205.74681049,0.63609320195559,6968205.74681049,0.425991256461711,4666603.43522231,0.425991256461711,6968205.74681049,0.861204335938087,9434229.11047062,0.861204335938087,6968205.74681049,4440.2,2364.20454545455
SWZ,2.89971612090767e-5,32.8277152019569,2.89971612090767e-5,32.8277152019569,2.89971612090767e-5,32.8277152019569,2.89971612090767e-5,32.8277152019569,2.89971612090767e-5,32.8277152019569,2.89971612090767e-5,32.8277152019569,0,NA
TCD,4.06671709085951e-5,620.923242308357,0.766318550684293,11700469.6540463,0,0,0.694340841073011,11700469.6540463,0,0,0.8725047530219,11700469.6540463,271.8,488.839285714286
TGO,1.17681863059191e-6,9.18030270790664,0.001483456292803,11572.3676256117,0,0,9.90002923249e-4,11572.3676256117,0,0,0.002241768229823,11572.3676256117,7,25.8231292517007
UGA,4.83935366266825e-5,2031.71666415345,0.041398002344777,1738021.58489428,0,0,0.027845318695038,1738021.58489428,0,0,0.073273422431991,1738021.58489428,1405.4,1880.54347826087
ZAF,8.13297242455547e-7,46.6405876039881,0.008195942711153,470017.066408166,0,0,0.004726271132666,470017.066408166,0,0,0.012227014475592,470017.066408166,NA,NA
ZMB,0.163565384722605,2802147.04953302,0.163565384722605,2802147.04953302,0.081712101030075,1399864.1778692,0.081712101030075,2802147.04953302,0.211315878950611,3620192.42473066,0.211315878950611,2802147.04953302,1264.6,5570.16071428571
ZWE,0.02934884252756,420826.728327119,0.02934884252756,420826.728327119,0.022808476140539,327045.824152581,0.022808476140539,420826.728327119,0.034858481836116,499828.259045229,0.034858481836116,420826.728327119,2164.6,159.904761904762
