Country,Source,Years,Mean,2.5%,97.5%
Angola,JHU,2015-2019,618.2378815,0,2368.969609
Benin,JHU,2015-2019,179.8972049,0.011590966,847.2840047
Burkina Faso,JHU,2015-2019,0.063905469,3.48e-72,0.181904089
Burundi,JHU,2015-2019,504.4742253,89.76670772,1156.387821
C. African Republic,JHU,2015-2019,35.67944997,0.0059236,180.2495748
Cameroon,JHU,2015-2019,562.3344218,20.23996824,1546.305021
Chad,JHU,2015-2019,357.6622955,6.16331e-4,1604.27646
Cote D'Ivoire,JHU,2015-2019,37.91526554,4.774786461,138.7693179
DR Congo,JHU,2015-2019,49062.09819,35886.4035,69505.46599
Eswatini,JHU,2015-2019,0,0,0
Ethiopia,JHU,2015-2019,18238.3778,765.7372942,57415.96243
Ghana,JHU,2015-2019,168.9656849,0.272088025,483.4152091
Guinea,JHU,2015-2019,1.017551922,0.005172987,0.796885606
Guinea Bissau,JHU,2015-2019,0.07245397,1.88e-21,0.449233913
Kenya,JHU,2015-2019,7650.411787,4187.263438,10761.67729
Liberia,JHU,2015-2019,79.17785596,4.4e-8,750.4644637
Malawi,JHU,2015-2019,1026.140687,26.20831057,2379.014495
Mali,JHU,2015-2019,0.070394038,4.33e-10,0.327705929
Mauritania,JHU,2015-2019,0.825091652,0,1.219790252
Mozambique,JHU,2015-2019,5555.698484,872.9410921,9209.744838
Niger,JHU,2015-2019,2496.577331,0.016407902,12495.28505
Nigeria,JHU,2015-2019,13166.7719,734.3943732,32538.64727
Republic of Congo,JHU,2015-2019,21.2836954,0,95.76005777
Rwanda,JHU,2015-2019,72.27355708,0,361.2947545
Senegal,JHU,2015-2019,3.071226105,0,13.34059618
Sierra Leone,JHU,2015-2019,0.744599046,4.83e-72,0.36281783
Somalia,JHU,2015-2019,22495.72634,4940.453132,76886.96863
South Africa,JHU,2015-2019,0,0,0
South Sudan,JHU,2015-2019,6266.384633,0.00231891,19240.60553
Sudan,JHU,2015-2019,1528.638216,0,5890.619872
Tanzania (incl Zanzibar),JHU,2015-2019,12172.12274,2254.379226,34169.65523
Tanzania mainland,JHU,2015-2019,11281.09011,2254.379226,33164.74657
Togo,JHU,2015-2019,9.180302708,1.2899999999999999e-38,58.65523818
Uganda,JHU,2015-2019,1699.355781,485.4122327,3797.958956
Zambia,JHU,2015-2019,1887.468529,30.99037771,4200.755506
"Zanzibar, Tanzania",JHU,2015-2019,891.0326277,0,2569.995177
Zimbabwe,JHU,2015-2019,2192.285547,0,10825.57973
