country,oc,who_annual_report,lp,unified
AGO,16,FALSE,4446,FALSE
BEN,86,FALSE,5881,FALSE
COD,87,FALSE,10081,FALSE
AGO,300,TRUE,4446,FALSE
BDI,301,TRUE,5054,FALSE
BEN,302,TRUE,5881,FALSE
BFA,303,TRUE,4447,FALSE
BWA,304,TRUE,932,FALSE
BWA,304,TRUE,932,FALSE
CAF,305,TRUE,1565,FALSE
CIV,306,TRUE,9232,FALSE
CMR,307,TRUE,8625,FALSE
COD,308,TRUE,10081,FALSE
COG,309,TRUE,6963,FALSE
ETH,314,TRUE,17512,FALSE
GHA,316,TRUE,11250,FALSE
GIN,317,TRUE,7192,FALSE
GNB,319,TRUE,8533,FALSE
KEN,321,TRUE,9931,FALSE
LBR,322,TRUE,1102,FALSE
LSO,323,TRUE,4033,FALSE
MDG,324,TRUE,522,FALSE
MLI,325,TRUE,7635,FALSE
MOZ,326,TRUE,2511,FALSE
MRT,327,TRUE,3796,FALSE
MWI,329,TRUE,6892,FALSE
NAM,330,TRUE,5425,FALSE
NER,331,TRUE,9080,FALSE
NGA,332,TRUE,1123,FALSE
RWA,333,TRUE,8239,FALSE
SEN,334,TRUE,7866,FALSE
SLE,335,TRUE,8743,FALSE
SWZ,337,TRUE,11167,FALSE
TCD,339,TRUE,10897,FALSE
TGO,340,TRUE,7536,FALSE
TZA,341,TRUE,15079,FALSE
UGA,342,TRUE,3285,FALSE
ZAF,343,TRUE,10023,FALSE
ZMB,344,TRUE,4975,FALSE
ZWE,345,TRUE,7733,FALSE
SOM,387,TRUE,2989,FALSE
SSD,620,TRUE,574,FALSE
AGO,5014,FALSE,4446,FALSE
BEN,5101,FALSE,5881,FALSE
BFA,5102,FALSE,4447,FALSE
CMR,5103,FALSE,8625,FALSE
CAF,5104,FALSE,1565,FALSE
TCD,5105,FALSE,10897,FALSE
COG,5106,FALSE,6963,FALSE
COD,5107,FALSE,10081,FALSE
CIV,5108,FALSE,9232,FALSE
CIV,5108,FALSE,9232,FALSE
GHA,5109,FALSE,11250,FALSE
GIN,5110,FALSE,7192,FALSE
GIN,5110,FALSE,7192,FALSE
GNB,5111,FALSE,8533,FALSE
GNB,5111,FALSE,8533,FALSE
LBR,5112,FALSE,1102,FALSE
MLI,5113,FALSE,7635,FALSE
MLI,5113,FALSE,7635,FALSE
MRT,5114,FALSE,3796,FALSE
NER,5115,FALSE,9080,FALSE
NGA,5116,FALSE,1123,FALSE
SEN,5117,FALSE,7866,FALSE
SLE,5118,FALSE,8743,FALSE
TGO,5119,FALSE,7536,FALSE
MWI,20350,FALSE,6892,FALSE
UGA,20373,FALSE,3285,FALSE
KEN,20374,FALSE,9931,FALSE
SOM,20375,FALSE,2989,FALSE
SSD,20376,FALSE,574,FALSE
Tanzania,20377,FALSE,15079,FALSE
KEN,20378,FALSE,9931,FALSE
KEN,20379,FALSE,9931,FALSE
CAF,20463,FALSE,1565,FALSE
NER,20708,FALSE,9080,FALSE
NGA,20710,FALSE,1123,FALSE
COD,20733,FALSE,10081,FALSE
COD,20794,FALSE,10081,FALSE
ZMB,21063,FALSE,4975,FALSE
Zanzibar,21064,FALSE,15052,FALSE
UGA,21065,FALSE,3285,FALSE
ZWE,21066,FALSE,7733,FALSE
MWI,21068,FALSE,6892,FALSE
RWA,21069,FALSE,8239,FALSE
KEN,21070,FALSE,9931,FALSE
BDI,21114,FALSE,5054,FALSE
ETH,21124,FALSE,9057,FALSE
TCD,21135,FALSE,10897,FALSE
ETH,21156,FALSE,9057,FALSE
SOM,21157,FALSE,2989,FALSE
BEN,21158,FALSE,5881,FALSE
GIN,21160,FALSE,7192,FALSE
NGA,21175,FALSE,1123,FALSE
COD,21176,FALSE,10081,TRUE
AGO,21192,FALSE,4446,TRUE
BDI,21193,FALSE,5054,TRUE
BEN,21194,FALSE,5881,TRUE
BEN,21195,FALSE,5881,TRUE
BFA,21196,FALSE,4447,TRUE
CAF,21197,FALSE,1565,TRUE
CMR,21200,FALSE,8625,TRUE
COD,21201,FALSE,10081,TRUE
CIV,21203,FALSE,9232,TRUE
MWI,21222,FALSE,6892,TRUE
ETH,21334,FALSE,9057,TRUE
ETH,21335,FALSE,9057,TRUE
